code,name,industry,area
002939,长城证券,证券,深圳
600730,中国高科,综合类,北京
600874,创业环保,环境保护,天津
002197,证通电子,电器仪表,深圳
603533,掌阅科技,互联网,北京
300320,海达股份,橡胶,江苏
300176,派生科技,汽车配件,广东
002349,精华制药,中成药,江苏
000877,天山股份,水泥,新疆
600647,同达创业,综合类,上海
002407,多氟多,化工原料,河南
300254,仟源医药,化学制药,山西
000811,冰轮环境,工程机械,山东
603578,三星新材,玻璃,浙江
300247,融捷健康,医疗保健,安徽
600146,商赢环球,服饰,宁夏
300500,启迪设计,建筑施工,江苏
300196,长海股份,玻璃,江苏
000913,钱江摩托,摩托车,浙江
600208,新湖中宝,全国地产,浙江
600821,津劝业,百货,天津
600784,鲁银投资,普钢,山东
002155,湖南黄金,黄金,湖南
002121,科陆电子,电器仪表,深圳
002665,首航节能,电气设备,北京
002377,国创高新,石油加工,湖北
002362,汉王科技,电脑设备,北京
603035,常熟汽饰,汽车配件,江苏
600311,荣华实业,黄金,甘肃
002119,康强电子,半导体,浙江
300371,汇中股份,电器仪表,河北
300202,聚龙股份,专用机械,辽宁
002006,精功科技,专用机械,浙江
600503,华丽家族,区域地产,上海
300674,宇信科技,软件服务,北京
002803,吉宏股份,广告包装,福建
300075,数字政通,软件服务,北京
601216,君正集团,化工原料,内蒙
002733,雄韬股份,电气设备,深圳
300023,宝德股份,专用机械,陕西
603208,江山欧派,家居用品,浙江
601928,凤凰传媒,出版业,江苏
300369,绿盟科技,软件服务,北京
600712,南宁百货,百货,广西
600565,迪马股份,全国地产,重庆
300208,青岛中程,电气设备,山东
600770,综艺股份,综合类,江苏
600585,海螺水泥,水泥,安徽
300717,华信新材,塑料,江苏
002517,恺英网络,互联网,福建
603721,中广天择,影视音像,湖南
002330,得利斯,食品,山东
300010,立思辰,软件服务,北京
002495,佳隆股份,食品,广东
601311,骆驼股份,电气设备,湖北
000564,供销大集,百货,陕西
600466,蓝光发展,区域地产,四川
002164,宁波东力,电气设备,浙江
600969,郴电国际,水力发电,湖南
002237,恒邦股份,黄金,山东
000733,振华科技,元器件,贵州
603096,新经典,出版业,天津
300030,阳普医疗,医疗保健,广东
002010,传化智联,仓储物流,浙江
000034,神州数码,综合类,深圳
603006,联明股份,汽车配件,上海
002243,通产丽星,塑料,深圳
000595,宝塔实业,机械基件,宁夏
002542,中化岩土,建筑施工,北京
002417,深南股份,多元金融,江苏
002759,天际股份,家用电器,广东
600278,东方创业,商贸代理,上海
002326,永太科技,化工原料,浙江
300321,同大股份,塑料,山东
603538,美诺华,化学制药,浙江
300395,菲利华,玻璃,湖北
603668,天马科技,饲料,福建
300691,联合光电,元器件,广东
601163,三角轮胎,汽车配件,山东
002888,惠威科技,元器件,广东
002342,巨力索具,机械基件,河北
000018,神州长城,装修装饰,深圳
300077,国民技术,半导体,深圳
300555,路通视信,通信设备,江苏
002055,得润电子,元器件,深圳
002369,卓翼科技,通信设备,深圳
300576,容大感光,染料涂料,深圳
600990,四创电子,通信设备,安徽
002282,博深工具,轻工机械,河北
603825,华扬联众,互联网,北京
002092,中泰化学,化工原料,新疆
000931,中 关 村,生物制药,北京
300669,沪宁股份,机械基件,浙江
002456,欧菲科技,元器件,深圳
600415,小商品城,商品城,浙江
002173,创新医疗,医疗保健,浙江
000587,金洲慈航,批发业,黑龙江
600152,维科技术,电气设备,浙江
000793,华闻传媒,出版业,海南
600872,中炬高新,食品,广东
002437,誉衡药业,化学制药,黑龙江
002364,中恒电气,电气设备,浙江
600510,黑牡丹,全国地产,江苏
000918,嘉凯城,全国地产,浙江
000020,深华发Ａ,元器件,深圳
600386,北巴传媒,公共交通,北京
600757,长江传媒,出版业,湖北
603226,菲林格尔,家居用品,上海
000524,岭南控股,酒店餐饮,广东
300570,太辰光,元器件,深圳
300444,双杰电气,电气设备,北京
300539,横河模具,塑料,浙江
601366,利群股份,百货,山东
600769,祥龙电业,建筑施工,湖北
300333,兆日科技,元器件,深圳
002666,德联集团,化工原料,广东
300127,银河磁体,元器件,四川
600692,亚通股份,房产服务,上海
600868,梅雁吉祥,水力发电,广东
002193,如意集团,纺织,山东
600983,惠而浦,家用电器,安徽
600298,安琪酵母,食品,湖北
002937,兴瑞科技,元器件,浙江
300206,理邦仪器,医疗保健,深圳
000078,海王生物,生物制药,深圳
603305,旭升股份,汽车配件,浙江
601718,际华集团,服饰,北京
600336,澳柯玛,家用电器,山东
300051,三五互联,互联网,福建
601098,中南传媒,出版业,湖南
300302,同有科技,软件服务,北京
600615,丰华股份,小金属,上海
000523,广州浪奇,日用化工,广东
300281,金明精机,专用机械,广东
002159,三特索道,旅游服务,湖北
600476,湘邮科技,软件服务,湖南
002446,盛路通信,通信设备,广东
600605,汇通能源,商贸代理,上海
600462,ST九有,元器件,深圳
600446,金证股份,软件服务,深圳
300453,三鑫医疗,医疗保健,江西
300668,杰恩设计,装修装饰,深圳
603160,汇顶科技,元器件,深圳
002162,悦心健康,医疗保健,上海
600489,中金黄金,黄金,北京
002106,莱宝高科,元器件,深圳
300383,光环新网,电信运营,北京
600817,ST宏盛,多元金融,陕西
601899,紫金矿业,黄金,福建
600306,商业城,百货,辽宁
